"Output (U,D,L,R)",Distance from wall (Left),Distance from wall (Half Left),Distance from wall (Front),Distance from wall (Half Right),Distance from wall (Right)
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
U,1,2,9,0,0
,1,2,8,0,0
,1,2,8,0,0
,1,2,8,0,0
,1,2,8,0,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,7,1,0
R,1,2,7,1,0
R,1,2,8,1,0
R,1,2,8,1,0
R,1,2,8,1,0
R,1,2,8,1,0
R,1,2,8,1,0
R,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
,1,2,8,1,0
R,1,2,8,1,0
R,1,2,8,1,0
R,1,2,8,0,0
R,1,3,8,0,0
R,1,3,8,0,0
R,1,3,8,0,0
,1,3,8,0,0
,1,3,8,0,0
,1,3,8,0,0
,1,3,8,0,0
,1,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,3,8,0,0
,2,4,8,0,0
,2,4,8,0,0
,2,4,8,0,0
,2,4,8,0,0
,2,4,8,0,0
,2,4,8,0,0
,2,4,8,0,0
,2,4,8,0,0
L,2,4,7,0,0
L,2,3,7,0,0
L,2,3,7,0,0
L,2,3,7,0,0
L,2,3,7,0,0
L,2,3,7,0,0
L,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,0,0
,2,3,6,1,0
,2,3,6,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,2,4,2,0
R,2,2,4,2,0
R,2,2,4,2,0
R,2,3,5,1,0
R,2,3,5,1,0
R,2,3,5,1,0
R,2,3,5,1,0
R,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,5,1,0
,2,3,4,1,0
,2,3,4,1,0
,2,3,4,1,0
,2,3,4,1,0
,2,3,4,1,0
,2,3,4,1,0
,2,3,4,1,0
,2,3,4,2,1
,2,3,4,2,0
,2,2,4,8,1
,2,2,4,8,1
R,2,2,4,8,1
R,2,2,4,8,1
R,2,2,4,2,1
R,2,3,4,2,1
R,2,3,4,2,1
R,2,3,4,1,1
R,2,3,4,1,1
,2,3,4,1,1
,2,3,4,1,1
,2,3,4,1,1
,2,3,4,1,1
,2,3,4,2,1
,2,2,4,2,1
,2,2,4,2,1
,2,2,4,2,1
,2,2,4,2,1
,2,2,4,2,1
,2,2,4,2,1
,2,2,4,2,1
,2,2,4,2,1
U,2,2,4,3,1
U,2,2,4,3,1
U,2,2,4,3,1
U,2,2,4,3,1
U,2,2,4,3,1
U,2,2,3,4,1
U,2,2,3,4,1
,2,2,3,8,1
,2,2,3,8,1
,2,2,3,8,1
,2,2,3,8,1
,2,2,3,8,1
R,2,2,3,8,1
R,2,2,3,8,1
R,2,2,3,8,1
R,2,2,3,4,1
R,2,2,3,3,1
R,2,2,3,3,1
R,2,2,3,3,1
,2,2,3,2,1
,2,2,3,3,1
,2,2,3,3,1
,2,2,3,3,1
,2,2,3,3,1
,2,2,3,3,1
,2,2,3,3,1
R,2,2,3,3,1
R,2,2,3,3,1
R,2,2,3,3,1
R,2,2,3,2,1
R,2,2,3,2,1
,2,2,4,2,1
,2,2,3,2,1
,2,2,3,2,1
,2,2,3,2,1
,2,1,3,2,1
,2,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
R,1,1,3,3,1
R,1,1,3,2,1
R,1,1,3,2,1
R,1,1,3,2,1
R,1,1,4,2,1
R,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
R,1,1,3,2,1
R,1,1,3,2,1
R,1,1,3,2,1
R,1,1,4,2,1
R,1,1,4,2,1
R,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,2,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
U,1,1,4,1,1
U,1,1,4,1,1
U,1,1,4,1,1
U,1,1,4,1,1
U,1,1,4,1,1
U,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,2,1
,1,1,3,1,1
,1,1,3,1,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
,1,1,3,2,1
R,1,1,3,2,1
R,1,1,3,2,1
R,1,1,4,1,1
R,1,1,4,1,1
R,1,1,4,1,1
R,1,1,4,1,1
R,1,1,4,1,1
,1,1,5,1,1
,1,1,5,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
,1,1,4,1,1
R,1,1,4,1,1
R,1,1,4,1,1
R,1,1,4,1,1
R,1,1,4,1,1
R,1,1,4,1,1
R,1,1,5,1,1
R,1,1,5,1,1
R,1,1,5,1,1
R,1,1,5,1,1
,1,1,5,1,1
,1,1,5,1,1
